CIS 112,3,MATH 115 or MATH 113 or Mathematics Placement with a score of 116
CIS 125,3,MATH 115 or MATH 113 or Mathematics Placement with a score of 116
CIS 150,4,(MATH 115 or Mathematics Placement with a score of 116) and (CIS 150 or IMSE 150 or CCM 150)
CIS 1501,4,CIS 1501 and MATH 115 or MATH 113 or Mathematics Placement with a score of 116
CIS 200,4,ENGR 100 or (MATH 105 or Mathematics Placement with a score of 113)
CIS 2001,4,(MATH 115 or Mathematics Placement with a score of 116) and CIS 200
CIS 205,3,CIS 200
CIS 275,4,CIS 200
CIS 285,3,CIS 200 or IMSE 200
CIS 290,2,CIS 200 or CIS 2001
CIS 294,3,CIS 200 or CIS 2001
CIS 296,3,CIS 200 or IMSE 200
CIS 297,3,CIS 275
CIS 298,3,(MATH 115 or Mathematics Placement with a score of 116) and (CIS 200 or IMSE 200) and CIS 275
CIS 299,4,CIS 200
CIS 306,4,(CIS 2001 or CIS 200) and (ECE 3100 or STAT 305)
CIS 310,3,(MATH 115 or Mathematics Placement with a score of 116) and (CIS 200 or IMSE 200) and CIS 275
CIS 316,4,(MATH 115 or Mathematics Placement with a score of 116) and (CIS 200 or IMSE 200) and CIS 275
CIS 3200,4,((CIS 350 or CIS 3501 or IMSE 350) or (ECE 370 and MATH 276) or (ECE 370 and ECE 276)) and (COMP 270 or COMP 106 or COMP 220 or Composition Placement Score with a score of 40 or Composition Placement Score with a score of 107)
CIS 350,4,CIS 375
CIS 3501,4,MATH 115
CIS 375,4,(CIS 200 or ECE 270) and (CIS 310 or ECE 370 or ECE 372)
CIS 376,4,CIS 350 or CIS 3501 or IMSE 350 or (ECE 370 and ECE 276) or (ECE 370 and MATH 276)
CIS 381,4,CIS 350 or CIS 3501 or IMSE 350 or (ECE 370 and ECE 276) or (ECE 370 and MATH 276)
CIS 387,3,(CIS 350 or IMSE 350 or CIS 3501) or (ECE 370 and MATH 276) or (ECE 370 and ECE 276)
CIS 390,3,CIS 350
CIS 391,4,CIS 350 or CIS 3501
CIS 399,3,CIS 350 or CIS 3501 or IMSE 351 or (ECE 370 and MATH 276)
CIS 400,3,(CIS 350 or CIS 3501 or IMSE 350) or (ECE 370 and ECE 276) or (ECE 370 and MATH 276)
CIS 405,4,CIS 421 or CIS 422
CIS 411,4,CIS 375 and (CIS 421 or CIS 422)
CIS 421,3,((CIS 350 or CIS 3501 or IMSE 351) or (ECE 370 and MATH 276) or (ECE 370 and ECE 276)) and IMSE 317
CIS 422,4,CIS 375 or CIS 553
CIS 423,4,CIS 375
CIS 425,3,CIS 427
CIS 427,3,(CIS 350 or CIS 3501 or IMSE 350) or (ECE 370 and (ECE 276 or MATH 276))
CIS 435,3,(CIS 200 or CIS 2001) and MATH 396
CIS 436,3,CIS 450
CIS 437,3,CIS 350 or CIS 3501 or IMSE 350 or (ECE 370 and ECE 276) or (ECE 370 and MATH 276)
CIS 439,3,CIS 310 and (CIS 350 or CIS 3501 or IMSE 350 or (ECE 370 and MATH 276) or (ECE 370 and ECE 276)) and IMSE 317
CIS 446,3,(MATH 217 or MATH 227 or MATH 228) and ((CIS 350 or CIS 3501 or IMSE 350) or (ECE 370 and MATH 276) or (ECE 370 and ECE 276))
CIS 447,4,CIS 451 or CIS 487 or CIS 450
CIS 449,3,(CIS 427 or ECE 471) and (CIS 387 or ECE 387)
CIS 450,3,CIS 350 or CIS 3501 or IMSE 350 or (ECE 370 and MATH 276)
CIS 451,4,CIS 375
CIS 452,3,CIS 350 or CIS 3501 or IMSE 350 or (ECE 370 and MATH 276) or (ECE 370 and ECE 276)
CIS 467,3,CIS 306 and (MATH 217 or MATH 227) and (IMSE 317 or BENG 364 or MATH 425 or STAT 325)
CIS 474,3,CIS 200 or CIS 2001
CIS 476,3,CIS 375
CIS 479,3,CIS 487
CIS 481,3,CIS 350 or CIS 3501 or IMSE 350 or (ECE 270 and ECE 276) or (ECE 370 and MATH 276)
CIS 4851,3,CIS 350 or CIS 3501 or IMSE 350 or (ECE 270 and ECE 276) or (ECE 370 and MATH 276)
CIS 487,3,CIS 350 or CIS 3501 or IMSE 350 or (ECE 270 and ECE 276) or (ECE 370 and MATH 276)
CIS 488,3,CIS 375 and CIS 310 and (CIS 427 or CIS 450)
CIS 490,3,CIS 4951
CIS 490,4,CIS 376
CIS 490,4,CIS 4961 and CIS 476
CIS 491,4,CIS 3200 and (STAT 325 or IMSE 317)
CIS 492,4,CIS 4971 and STAT 430
CIS 493,2,CIS 375 and CIS 3200 and (STAT 325 or IMSE 317) and CIS 310 and (CIS 427 or CIS 450)
CIS 494,2,CIS 4981 and STAT 430